,date,pal_total,isr_total
0,2023-10-08,426,677
1,2023-10-09,704,900
2,2023-10-10,849,1000
3,2023-10-11,1126,1200
4,2023-10-12,1450,1300
5,2023-10-13,1842,1300
6,2023-10-14,2282,1300
7,2023-10-15,2726,1300
8,2023-10-16,2866,1300
9,2023-10-17,3061,1300
10,2023-10-18,3542,1400
11,2023-10-19,3864,1400
12,2023-10-20,4219,1400
13,2023-10-21,,
14,2023-10-22,4742,1402
15,2023-10-23,5182,1402
16,2023-10-24,5886,1402
17,2023-10-25,6649,1402
18,2023-10-26,7131,1402
19,2023-10-27,7434,1402
20,2023-10-28,7812,1402
21,2023-10-29,8120,1402
22,2023-10-30,8430,1402
23,2023-10-31,8648,1405
24,2023-11-01,8933,1416
25,2023-11-02,9193,1419
26,2023-11-03,9392,1426
27,2023-11-04,9621,1430
28,2023-11-05,9911,1431
29,2023-11-06,10169,1433
30,2023-11-07,10478,1433
31,2023-11-08,10719,1436
32,2023-11-09,10993,1238
33,2023-11-10,11246,1245
34,2023-11-11,11247,1250
35,2023-11-12,11250,1250
36,2023-11-13,11251,1252
37,2023-11-14,11260,1254
38,2023-11-15,,
39,2023-11-16,11264,1257
40,2023-11-17,11269,1260
41,2023-11-18,11276,1266
42,2023-11-19,11278,1273
43,2023-11-20,11279,1275
44,2023-11-21,11279,1277
45,2023-11-22,14709,1279
46,2023-11-23,,
47,2023-11-24,15013,1279
48,2023-11-25,15015,1279
49,2023-11-26,15022,1279
50,2023-11-27,15031,
